SKUCode,Quantity,Priority
1D25215013008SXC10,54178,2.174570275600222
1325221417096HURL0,25866,2.083449076977253
1325221318095HURL0,17417,2.0520868207370393
1325225518111HRHB0,16122,2.0465520734933924
1325217515084HURL2,10438,2.03511471060924
1D25216814008QXPC0,10761,2.0330268088973393
1D25215013008SXC1T,13724,2.032104878271306
1325222318098HRHE0,5810,2.013592791203577
1325214617107MSXT0,4096,2.0131396981634575
1325216613079HUNE0,3377,2.0114447945689373
1325225518111HRAT1,774,2.0018116018312524
1325223317103YLEV0,637,2.0014897149955435
1325223418103VETR0,509,2.0011917719964347
1325222418104HUX10,68,2.0001585825640418
1325215813079TUNE3,27983,1.0932818266566071
1D25214012008QXPCT,15254,1.0626662527795667
1325219515091HURL2,14872,1.0489184244349412
1325214812074TUHL0,12325,1.0394190944903727
1325224716111SELS0,14977,1.036354053336625
1225219Z15008SXC11,9009,1.0329914955491464
1D25218014010RXPCT,9458,1.0290950459333703
1325215813079TUNE5,8833,1.0268524257600071
1325218614088TTMX0,5289,1.0229008982234171
1325221715100SRAT0,7205,1.0168550610924352
1D25114012008QXPC0,3447,1.009363922829131
1325223616105TRAT0,3570,1.008351606847603
1325215514075TUNE0,269,1.007633632741139
1325218514086HUTR0,3208,1.0075054343286924
1325220416092HRHT0,73,1.0067807717038533
1325218316083HURL0,444,1.0063433025616693
1325214812074TTMX0,1163,1.006053323015993
1D25118014010RXPC0,632,1.0050163872298914
1D25218Z14008QXPC0,2001,1.0046819614145652
1325223517104TRXT0,1549,1.0036247443209538
1325214813075SUHL0,1449,1.0033903858519266
1325221516098HRHT0,1449,1.0033903858519266
1325219416089VRHE0,72,1.0032773729901958
1325221416095VRHE1,1401,1.0032773729901958
1325223616109SELZ0,1172,1.0027406603402331
1325221416095VURP0,1136,1.00265732945151
1325216612077TUSP0,1014,1.0023732700963486
1325226517112HRHT1,339,1.0007929128202089
1325226617118QRMT0,291,1.000679880567115
1325224716120NRMT0,176,1.000411099051035
