SKUCode,Quantity,Priority
1D25215013008SXC10,23201,2.1743597200178177
1325221417096HURL0,10876,2.0827307968105915
1325221318095HURL0,7162,2.052671907880544
1325225518111HRHB0,7969,2.046141167486901
1325217515084HURL2,3369,2.034454115708098
1D25216814008QXPC0,4305,2.033262042058144
1D25215013008SXC1T,12060,2.0315931911555913
1325222318098HRHE0,5641,2.013720291813222
1325216613079HUNE0,1154,2.0115568995667092
1325225518111HRAT1,774,2.001810239762407
1325223317103YLEV0,640,2.0014964854228383
1325223418103VETR0,504,2.0011795816044113
1325215813079TUNE3,9303,1.0926003221744829
1325219515091HURL2,5509,1.048071175972172
1325214812074TUHL0,3498,1.0392763413752708
1325224716111SELS0,13084,1.0361230691935968
1225219Z15008SXC11,1851,1.0339327918048935
1D25218014010RXPCT,5110,1.0294142511388094
1325215813079TUNE5,5164,1.0274865299570173
1325221715100SRAT0,7057,1.016509416229343
1D25114012008QXPC0,1604,1.009320917915656
1325223616105TRAT0,3509,1.008208802580983
1325218514086HUTR0,3141,1.0073485975410934
1325220416092HRHT0,25,1.0068435499367938
1D25218Z14008QXPC0,732,1.0046745874391645
1325223517104TRXT0,1590,1.0037189961546165
1325214813075SUHL0,1458,1.0034098857982725
1325219416089VRHE0,1,1.003361755079211
1325221516098HRHT0,1437,1.0033609042981448
1325221416095VRHE1,1421,1.0033240631293858
1325223616109SELZ0,1185,1.0027728077635554
1325221416095VURP0,1139,1.0026656198229476
1325216612077TUSP0,988,1.0023113075522885
1325226517112HRHT1,339,1.0007927309894031
1325226617118QRMT0,295,1.000689334239929
1325224716120NRMT0,174,1.0004076972556684
1325231015109QRMT0,1838,1.004458823722065
1325223418103HRHP0,2060,1.004819085449871
1325215513073TUNE0,6656,2.020633171683428
