SKUCode,Quantity,Priority
1225119015010QSTL0,1699,2.0023770325757644
1225121715115SSTL0,5127,2.0080708689553224
1225121716010SXC10,1315,4.0027959361545085
1225121Z14112LSTL0,1602,2.0025071949622872
1225170015010LSTL0,2432,4.009167960591903
1225170015012LSTL0,19406,4.078871642589944
1225219015008SLTB0,260,3.0004291557739347
1225219015010QSTL0,1492,2.0040091794242345
1225220Z16008RXC10,20,3.0000275131992646
1225221715115SSTL0,9840,4.023683107682023
1225222615008RXC10,92,3.0001280303035975
1225222716121MXC11,1074,2.0015017796274632
1225223516121PSKP0,8146,4.021375037406819
1325114613071TTMX0,2,2.0002108985298093
1325114812074TUHL0,8869,2.0283621364109923
1325119015008SRBT0,5189,2.0113503461214655
1325119815106QBRQ0,2606,4.011821348565372
1325121715100SBRT0,2011,2.0085120124941955
1325121715100SRBT0,4805,2.0069613158484048
1325121715100SRXT0,3161,2.0068954018645377
1325121715115SLTB0,612,2.006974465545289
1325123715105SBRT0,7079,2.01142982800445
1325123715105SRXT0,875,2.0012236359511735
1325213612065SULX1,60,4.003150575235382
1325213615099MSXT0,2115,4.008926854107322
1325214613071TTMX0,23,2.0041167031992573
1325214812074TUHL0,20472,2.0351793898372623
1325214813075STMX0,1975,2.0055950970681713
1325214813075SUNE1,15358,4.076458013340683
1325215513073TUHL0,559,2.0082944267012617
1325215613075TUHL0,4212,2.01291597235131
1325215813079STMX0,7242,3.021286701643309
1325215813079SUHL0,6990,2.0163565437221354
1325216513077TUHL0,3012,2.0043234006887647
1325216514079TTMX0,2916,3.0075578818564437
1325216614081STMX0,10025,2.025182960711122
1325216614081SUTR0,227,2.008207035662795
1325216814085STMX0,11595,2.0274588570447607
1325216814085SUTR0,5018,2.007074407779821
1325216814085TURL0,3922,3.0094373252748725
1325216814085TURS0,3,2.000425487461152
1325217514082HURP0,427,2.000597922671587
1325217514082TUTR0,4172,2.006817751269349
1325217614084HURL1,1399,2.0019571091960597
1325218515088HTMX0,7013,3.031926253728012
1325218515088HURP0,10,2.0006539018765235
1325218515088TURL0,1405,2.003006019420114
1325218515088TURS0,291,2.000407143773412
1325218614088HURL0,1084,3.00478888503263
1325219316087VURL0,5709,2.011264569107191
1325219316087VURP0,18,2.0008774971379784
1325219316087VUTR0,6449,2.010085240356906
1325219416089HRHE0,7933,4.024217682057079
1325220316091VURL1,1091,2.0027475602971316
1325220416092VURL0,556,2.00077848777176
1325220515094VTMX0,412,3.0032578180200034
1325220515094VURL1,93,3.0001303899789797
1325220515094VUTR0,3638,2.008534910734942
1325220516095HTMX0,114,3.003558365148428
1325220516095HUTR0,7226,2.0110846148211303
1325221317098VUX10,4,2.000005470932528
1325221416095VURL0,5,3.0207554720511554
1325221416095VURS0,300,2.000419722074696
1325221417100HURL1,9520,2.0253210176620335
1325221417100HURS0,295,2.0004128814303352
1325221715100SRHT0,8740,2.028658646608479
1325221715100SRXT0,1886,2.0056174720012745
1325222317101VUX10,4,3.0002470968180703
1325223517104HRHT0,3303,3.010949287449822
1325223616105HRHT0,2874,2.0040205927406833
1325223715105SRXT0,1516,2.004539110657832
1325223916120QRAB0,1127,3.001607200231301
1325226517112HRHT0,2784,3.004422693011223
1425118916008QRBT0,2781,2.0123175649865086
1D25212812074FXC10,11682,4.03291929537957
1D25212812086FXPC0,17434,4.039142405888011
1D25213812090FXPC0,16870,4.042841333396347
1D25214012006QXC10,502,2.0007026317975347
1D25215Z13008QXPC0,7170,4.015487567769747
1325217613082TUNE0,9268,2.00137517932327
1325119815106QBRQ0,3370,2.00371179323278
1325217514082HURL2,10752,5.0
