SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1D25215013008SXC10,2.1743597200178177,29792,0,30075,0,100.9,FULLY MET,19,48,6.55,
1325221417096HURL0,2.0827307968105915,14346,0,14346,0,100.0,FULLY MET,16,45,2.66,
1325221318095HURL0,2.052671907880544,12268,0,12387,0,101.0,FULLY MET,19,42,2.7,
1325225518111HRHB0,2.046141167486901,11835,0,11764,71,99.4,PARTIAL,18,40,2.47,
1325217515084HURL2,2.034454115708098,5118,0,5118,0,100.0,FULLY MET,15,5,0.89,
1D25216814008QXPC0,2.033262042058144,6928,0,6928,0,100.0,FULLY MET,20,33,1.6,
1D25215013008SXC1T,2.0315931911555913,11393,0,11394,0,100.0,FULLY MET,20,40,2.64,
1325215513073TUNE0,2.020633171683428,4741,0,4746,0,100.1,FULLY MET,15,66,0.82,
1325222318098HRHE0,2.013720291813222,5865,0,5866,0,100.0,FULLY MET,18,34,1.22,
1325216613079HUNE0,2.0115568995667092,1745,0,1746,0,100.1,FULLY MET,15,66,0.3,
1D25219Z14008SXC10,2.002595757929376,4,0,4,0,100.0,FULLY MET,21,22,0.0,
1325225518111HRAT1,2.001810239762407,2,0,2,0,100.0,FULLY MET,19,37,0.0,
1325223317103YLEV0,2.0014964854228383,640,0,606,34,94.7,PARTIAL,21,27,0.16,
1325223418103VETR0,2.0011795816044113,504,0,504,0,100.0,FULLY MET,18,37,0.1,
1325222418104HUX10,2.0001622890276582,17,0,18,0,105.9,FULLY MET,17,37,0.0,
1325215813079TUNE3,1.0926003221744829,13551,0,13628,0,100.6,FULLY MET,14,83,2.2,
1D25214012008QXPCT,1.0613886691678571,2067,0,2079,0,100.6,FULLY MET,22,72,0.53,
1325219515091HURL2,1.048071175972172,7791,0,7792,0,100.0,FULLY MET,15,32,1.35,
1325214812074TUHL0,1.0392763413752708,7927,0,7930,0,100.0,FULLY MET,15,72,1.38,
1325224716111SELS0,1.0361230691935968,15441,0,15442,0,100.0,FULLY MET,19,31,3.4,
1225219Z15008SXC11,1.0339327918048935,3543,0,3590,0,101.3,FULLY MET,27,76,1.11,
1D25218014010RXPCT,1.0294142511388094,6268,0,6307,0,100.6,FULLY MET,23,33,1.67,
1325215813079TUNE5,1.0274865299570173,6140,0,6092,48,99.2,PARTIAL,17,33,1.21,
1325218614088TTMX0,1.0231076323695032,266,0,268,0,100.8,FULLY MET,15,24,0.05,
1325221715100SRAT0,1.016509416229343,5857,0,5900,0,100.7,FULLY MET,19,27,1.29,
1D25114012008QXPC0,1.009320917915656,3155,0,3185,0,101.0,FULLY MET,19,66,0.69,
1325223616105TRAT0,1.008208802580983,3509,0,3510,0,100.0,FULLY MET,20,27,0.81,
1325218514086HUTR0,1.0073485975410934,3141,0,3142,0,100.0,FULLY MET,14,20,0.51,
1325220416092HRHT0,1.0068435499367938,23,0,24,0,104.3,FULLY MET,16,29,0.0,
1325218316083HURL0,1.0063451091573352,2,0,2,0,100.0,FULLY MET,20,19,0.0,
1325223418103HRHP0,1.004819085449871,2060,0,0,2060,0.0,UNSCHEDULABLE,18,0,0.43,No machine mapping
1D25218Z14008QXPC0,1.0046745874391645,1998,0,1998,0,100.0,FULLY MET,25,73,0.58,
1325231015109QRMT0,1.004458823722065,1906,0,1904,2,99.9,PARTIAL,25,37,0.55,
1325223517104TRXT0,1.0037189961546165,1590,0,1590,0,100.0,FULLY MET,20,27,0.37,
1325214813075SUHL0,1.0034098857982725,1458,0,1370,88,94.0,PARTIAL,16,20,0.27,
1325219416089VRHE0,1.003361755079211,35,0,36,0,102.9,FULLY MET,17,1,0.01,
1325221516098HRHT0,1.0033609042981448,1437,0,1438,0,100.1,FULLY MET,16,27,0.27,
1325221416095VRHE1,1.0033240631293858,1421,0,0,1421,0.0,UNSCHEDULABLE,16,0,0.26,No machine mapping
1325223616109SELZ0,1.0027728077635554,1185,0,1186,0,100.1,FULLY MET,23,37,0.32,
1325221416095VURP0,1.0026656198229476,1139,0,1140,0,100.1,FULLY MET,15,2,0.2,
1325226517112HRHT1,1.0007927309894031,339,0,0,339,0.0,UNSCHEDULABLE,17,27,0.07,No compatible mould available
1325226617118QRMT0,1.000689334239929,295,0,184,111,62.4,PARTIAL,26,37,0.09,
1325224716120NRMT0,1.0004076972556684,174,0,0,174,0.0,UNSCHEDULABLE,26,0,0.05,No machine mapping
